               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.017725,           0.0097827,            0.073075,           0.0088948,                   1,             0.13913,             0.11214,           0.0054578,           0.0027377,            0.034511,           0.0090265,           0.0090265,           0.0090265
                  61,            0.015906,           0.0098744,            0.071705,             0.41482,             0.34081,               0.169,             0.13307,           0.0055273,           0.0031717,            0.034274,             0.00901,             0.00901,             0.00901
                  62,            0.014092,           0.0095726,             0.07225,              0.1595,             0.61411,             0.20106,             0.16167,           0.0059454,            0.002792,            0.033706,           0.0089935,           0.0089935,           0.0089935
                  63,            0.013127,           0.0097426,            0.068669,             0.64851,             0.15786,             0.20784,             0.18053,            0.005336,           0.0029608,             0.03372,            0.008977,            0.008977,            0.008977
                  64,            0.015224,            0.010074,            0.071839,             0.68317,             0.15784,             0.23008,             0.19412,           0.0050257,           0.0026725,            0.033279,           0.0089605,           0.0089605,           0.0089605
                  65,            0.016663,            0.010181,            0.072867,             0.91042,             0.07183,             0.23394,             0.18814,           0.0060036,           0.0026395,            0.033132,            0.008944,            0.008944,            0.008944
                  66,            0.013061,            0.010026,            0.066648,             0.85893,             0.10525,             0.25556,             0.21449,           0.0056489,           0.0026471,            0.032507,           0.0089275,           0.0089275,           0.0089275
                  67,            0.016195,             0.01004,            0.069916,             0.86875,             0.11101,             0.24929,             0.20657,           0.0057971,           0.0027767,            0.032479,            0.008911,            0.008911,            0.008911
                  68,            0.017242,            0.010078,            0.071883,             0.85457,             0.09161,             0.24528,             0.19576,           0.0065119,           0.0026961,            0.032209,           0.0088945,           0.0088945,           0.0088945
                  69,            0.014566,           0.0096088,             0.06783,             0.81854,             0.11712,             0.28963,             0.23797,           0.0056261,           0.0027832,            0.032005,            0.008878,            0.008878,            0.008878
                  70,            0.014379,           0.0093994,            0.066638,             0.77111,             0.16187,             0.28039,              0.2307,           0.0058971,           0.0027568,            0.031432,           0.0088615,           0.0088615,           0.0088615
                  71,            0.014707,           0.0099016,             0.06523,             0.80032,             0.15315,             0.27974,             0.22398,           0.0066758,           0.0026961,            0.032029,            0.008845,            0.008845,            0.008845
                  72,            0.016035,           0.0096613,            0.069111,             0.77059,             0.19047,             0.32532,             0.25843,           0.0056284,           0.0026007,            0.030717,           0.0088285,           0.0088285,           0.0088285
                  73,            0.016483,           0.0098448,            0.071112,             0.74603,             0.21771,             0.33125,             0.27891,            0.006502,           0.0028857,            0.030447,            0.008812,            0.008812,            0.008812
                  74,            0.015209,           0.0096135,            0.065511,             0.73645,             0.21171,              0.3809,             0.32172,           0.0057536,           0.0027148,            0.029687,           0.0087955,           0.0087955,           0.0087955
                  75,            0.015538,           0.0094949,            0.064184,             0.67443,               0.244,             0.42113,             0.34549,           0.0057118,           0.0027788,            0.029653,            0.008779,            0.008779,            0.008779
                  76,            0.014999,           0.0097136,            0.064375,             0.69261,             0.22501,             0.40886,             0.33891,            0.005949,           0.0030656,            0.029568,           0.0087625,           0.0087625,           0.0087625
                  77,            0.016798,           0.0095928,            0.066059,             0.69054,             0.26775,             0.41487,             0.33228,           0.0061828,           0.0027009,            0.029073,            0.008746,            0.008746,            0.008746
                  78,            0.018544,           0.0095442,            0.065349,              0.6824,             0.26595,             0.41795,             0.33036,           0.0059846,           0.0026071,            0.028839,           0.0087295,           0.0087295,           0.0087295
                  79,            0.015679,           0.0096587,            0.062261,             0.65801,             0.26673,             0.39499,             0.32036,           0.0060522,           0.0027982,            0.028763,            0.008713,            0.008713,            0.008713
                  80,            0.015268,           0.0095765,            0.062935,             0.65614,             0.29092,             0.38085,             0.30925,           0.0059123,           0.0028196,            0.029073,           0.0086965,           0.0086965,           0.0086965
                  81,            0.015222,           0.0095547,            0.060645,             0.72973,             0.18075,              0.3238,             0.25809,           0.0060884,           0.0026214,            0.030385,             0.00868,             0.00868,             0.00868
                  82,            0.015558,           0.0098287,            0.061638,             0.66514,             0.28936,             0.40396,             0.33273,           0.0062357,           0.0025861,            0.028495,           0.0086635,           0.0086635,           0.0086635
                  83,            0.015366,           0.0098266,            0.060043,             0.63802,             0.33677,             0.43908,             0.33698,           0.0066711,           0.0026839,            0.027906,            0.008647,            0.008647,            0.008647
                  84,            0.015918,            0.009669,            0.061485,             0.57016,             0.35615,             0.44932,              0.3726,           0.0062662,           0.0027418,             0.02715,           0.0086305,           0.0086305,           0.0086305
                  85,            0.015956,           0.0093902,            0.060108,                0.64,             0.33414,             0.46301,             0.38561,           0.0057206,            0.002696,            0.026871,            0.008614,            0.008614,            0.008614
                  86,            0.016905,           0.0094108,            0.062275,             0.63245,             0.33803,             0.47997,             0.39247,           0.0059146,            0.002766,             0.02684,           0.0085975,           0.0085975,           0.0085975
                  87,            0.017594,           0.0092876,            0.061125,             0.62749,             0.35773,             0.48572,             0.40708,           0.0085445,           0.0028234,            0.026655,            0.008581,            0.008581,            0.008581
                  88,            0.016407,           0.0098938,            0.059098,              0.6178,             0.38879,             0.49671,             0.40544,           0.0066002,           0.0029341,            0.026089,           0.0085645,           0.0085645,           0.0085645
                  89,            0.018247,           0.0097615,             0.06156,             0.63286,             0.40575,             0.51285,             0.40818,           0.0065345,           0.0027252,            0.025623,            0.008548,            0.008548,            0.008548
                  90,            0.016289,           0.0095621,            0.057636,              0.5727,             0.40435,             0.48737,             0.39822,           0.0066894,           0.0029405,            0.026115,           0.0085315,           0.0085315,           0.0085315
                  91,            0.018492,            0.010272,            0.058751,             0.64789,             0.41223,             0.56431,             0.43705,           0.0070506,           0.0029649,            0.025362,            0.008515,            0.008515,            0.008515
                  92,            0.016093,           0.0096845,            0.055328,             0.63428,             0.40342,             0.55731,             0.45383,           0.0060398,           0.0028062,            0.025047,           0.0084985,           0.0084985,           0.0084985
                  93,             0.01622,           0.0098795,            0.055516,             0.60045,              0.4324,             0.55194,             0.45426,           0.0059877,           0.0027648,            0.024711,            0.008482,            0.008482,            0.008482
                  94,            0.017492,           0.0098388,             0.05714,             0.60618,             0.42611,             0.57016,             0.44364,           0.0069609,           0.0028543,            0.024443,           0.0084655,           0.0084655,           0.0084655
                  95,            0.017066,           0.0097875,            0.056334,             0.59958,             0.43469,             0.55746,             0.39999,           0.0073464,           0.0027317,            0.024552,            0.008449,            0.008449,            0.008449
                  96,            0.015591,           0.0099612,            0.053576,              0.6133,              0.4939,             0.59375,             0.47154,           0.0060517,           0.0028245,            0.024045,           0.0084325,           0.0084325,           0.0084325
                  97,            0.016614,           0.0093592,            0.056006,             0.63898,             0.48122,             0.59996,             0.47852,           0.0064223,           0.0027112,            0.023628,            0.008416,            0.008416,            0.008416
                  98,            0.016108,           0.0093595,            0.051774,             0.56139,             0.48594,              0.6074,             0.48956,           0.0065896,           0.0027017,            0.023351,           0.0083995,           0.0083995,           0.0083995
                  99,            0.017021,           0.0094051,            0.053943,             0.58865,             0.49279,             0.57874,             0.40489,           0.0075109,           0.0026819,              0.0232,            0.008383,            0.008383,            0.008383
                 100,            0.015311,           0.0093595,            0.051188,             0.64135,              0.4686,             0.63485,             0.52527,            0.006097,            0.002867,            0.022255,           0.0083665,           0.0083665,           0.0083665
                 101,            0.018771,           0.0097808,            0.056786,              0.6577,             0.50645,             0.65251,             0.54073,            0.005775,           0.0029203,            0.022423,             0.00835,             0.00835,             0.00835
                 102,            0.015986,           0.0098138,            0.052541,             0.58408,             0.46582,             0.61515,             0.50975,           0.0063245,           0.0026711,            0.022027,           0.0083335,           0.0083335,           0.0083335
                 103,            0.017458,           0.0094425,            0.051827,             0.58865,             0.49477,             0.62012,             0.52651,           0.0062233,           0.0027204,            0.022174,            0.008317,            0.008317,            0.008317
                 104,            0.017375,            0.009376,            0.049212,             0.56999,             0.52196,             0.64561,             0.52692,            0.005553,           0.0028782,             0.02234,           0.0083005,           0.0083005,           0.0083005
                 105,            0.017024,           0.0092976,            0.048475,             0.54439,             0.46661,             0.57191,             0.44337,           0.0069807,           0.0027325,            0.023081,            0.008284,            0.008284,            0.008284
                 106,            0.018266,            0.009273,            0.050777,             0.62647,             0.54962,             0.66527,             0.53395,           0.0061675,           0.0027915,            0.021208,           0.0082675,           0.0082675,           0.0082675
                 107,            0.017379,           0.0095433,            0.049853,             0.60493,             0.56338,             0.66514,             0.54824,            0.005923,           0.0027677,            0.021234,            0.008251,            0.008251,            0.008251
                 108,            0.018969,           0.0093478,            0.051619,             0.61582,             0.56505,             0.65176,             0.52536,           0.0065548,           0.0027925,            0.020796,           0.0082345,           0.0082345,           0.0082345
                 109,            0.017548,           0.0096752,            0.049529,              0.5876,             0.60368,             0.65607,             0.52758,           0.0068358,           0.0026976,            0.020881,            0.008218,            0.008218,            0.008218
                 110,            0.016748,           0.0093832,            0.047279,             0.62062,             0.53372,             0.66415,             0.54239,           0.0063305,           0.0027011,            0.021608,           0.0082015,           0.0082015,           0.0082015
                 111,            0.018438,           0.0093452,            0.050545,             0.56438,              0.6024,             0.67394,             0.53311,            0.006747,           0.0027846,            0.020223,            0.008185,            0.008185,            0.008185
                 112,            0.016863,           0.0094851,             0.04714,              0.6094,             0.57538,             0.65503,             0.47297,           0.0071923,           0.0026397,            0.019763,           0.0081685,           0.0081685,           0.0081685
                 113,            0.019983,           0.0097676,            0.051079,             0.53178,             0.60063,             0.67083,             0.50074,           0.0069065,           0.0028042,            0.019697,            0.008152,            0.008152,            0.008152
                 114,            0.017948,           0.0095426,            0.048103,             0.57493,             0.62392,             0.69628,             0.55339,           0.0063324,           0.0027428,            0.018861,           0.0081355,           0.0081355,           0.0081355
