               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  14,            0.023506,            0.013474,            0.073915,           0.0084656,             0.99249,            0.039684,            0.030983,           0.0067374,            0.003314,            0.037618,           0.0097855,           0.0097855,           0.0097855
                  15,            0.020175,            0.013563,            0.073519,           0.0084258,             0.93844,            0.033959,            0.021877,           0.0097687,           0.0032564,            0.037542,            0.009769,            0.009769,            0.009769
                  16,            0.021354,            0.013482,            0.079179,           0.0086395,              0.9955,            0.039991,            0.028733,           0.0071988,           0.0032012,            0.037561,           0.0097525,           0.0097525,           0.0097525
                  17,            0.020641,            0.013146,            0.073474,            0.008407,               0.997,            0.059142,            0.046808,           0.0060718,           0.0030438,            0.037386,            0.009736,            0.009736,            0.009736
                  18,            0.022082,            0.013229,             0.07222,           0.0083441,               0.997,            0.056169,            0.048758,           0.0068408,           0.0031093,            0.037585,           0.0097195,           0.0097195,           0.0097195
                  19,            0.018623,            0.013249,            0.073043,           0.0085427,                   1,            0.042358,            0.033931,           0.0067551,           0.0028772,            0.037263,            0.009703,            0.009703,            0.009703
                  20,            0.019551,            0.012534,             0.07695,           0.0086598,                   1,            0.047227,            0.034682,           0.0075099,           0.0029924,             0.03714,           0.0096865,           0.0096865,           0.0096865
                  21,            0.020757,            0.013115,            0.071489,            0.008765,                   1,            0.048899,             0.03855,            0.006417,           0.0028335,            0.037248,             0.00967,             0.00967,             0.00967
                  22,            0.019142,            0.012623,            0.075994,           0.0085835,                   1,            0.052797,             0.03868,           0.0062125,           0.0029166,             0.03723,           0.0096535,           0.0096535,           0.0096535
                  23,            0.021322,            0.012544,            0.075455,           0.0086408,                   1,            0.051964,            0.040466,           0.0055437,           0.0027671,            0.037291,            0.009637,            0.009637,            0.009637
                  24,            0.018442,            0.012221,            0.071548,           0.0085947,                   1,            0.053947,            0.044466,           0.0060256,           0.0027185,            0.037083,           0.0096205,           0.0096205,           0.0096205
                  25,            0.018359,             0.01153,            0.073151,           0.0086566,                   1,            0.050356,            0.043323,           0.0061476,           0.0028094,            0.037026,            0.009604,            0.009604,            0.009604
                  26,            0.019824,            0.012647,             0.07421,           0.0085207,             0.99249,            0.060104,            0.053486,           0.0051733,           0.0028587,            0.037031,           0.0095875,           0.0095875,           0.0095875
                  27,            0.017738,            0.011839,            0.070998,           0.0086285,                   1,            0.057476,            0.048539,           0.0056628,           0.0027925,             0.03704,            0.009571,            0.009571,            0.009571
                  28,            0.022326,            0.011724,            0.073125,           0.0087208,                   1,            0.059156,            0.050102,           0.0056442,           0.0028077,            0.037035,           0.0095545,           0.0095545,           0.0095545
                  29,            0.018753,            0.011962,            0.073942,           0.0087196,                   1,            0.056832,            0.046949,           0.0071593,           0.0027478,             0.03695,            0.009538,            0.009538,            0.009538
                  30,            0.017987,            0.012049,            0.070788,           0.0087258,                   1,            0.065736,            0.050134,           0.0065647,           0.0029453,             0.03714,           0.0095215,           0.0095215,           0.0095215
                  31,            0.017755,             0.01164,            0.071922,           0.0086674,               0.997,            0.071767,            0.059379,           0.0059781,           0.0027621,            0.036751,            0.009505,            0.009505,            0.009505
                  32,            0.018211,            0.011773,            0.073461,           0.0087381,                   1,            0.067815,            0.058415,           0.0059797,           0.0029984,            0.036723,           0.0094885,           0.0094885,           0.0094885
                  33,             0.01636,             0.01145,            0.072597,           0.0086203,                   1,            0.076465,            0.065215,           0.0051474,           0.0029455,            0.036803,            0.009472,            0.009472,            0.009472
                  34,            0.017216,              0.0114,            0.070497,           0.0087711,                   1,            0.069443,            0.059947,           0.0053203,            0.002885,            0.036685,           0.0094555,           0.0094555,           0.0094555
                  35,            0.016995,            0.011652,            0.072925,           0.0088513,               0.997,            0.067028,            0.053915,           0.0057102,           0.0027588,            0.036737,            0.009439,            0.009439,            0.009439
