                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.42361,                0.70188,                 1.0993,                0.67483,                0.75881,                0.86299,                0.75205,                0.64479,                 1.1738,                 1.3874,             6.0603e-05,             6.0603e-05,             6.0603e-05
                     44,                0.42885,                0.71835,                 1.1191,                0.73485,                 0.7215,                0.84722,                0.73359,                0.64657,                 1.2068,                 1.3909,             6.0495e-05,             6.0495e-05,             6.0495e-05
                     45,                0.43044,                0.69221,                  1.105,                0.75941,                0.77465,                0.87674,                 0.7713,                0.59179,                 1.0308,                 1.2896,             6.0388e-05,             6.0388e-05,             6.0388e-05
                     46,                0.41746,                0.67256,                  1.099,                0.66638,                0.82588,                0.87955,                0.76222,                0.66591,                 1.1633,                 1.4248,             6.0281e-05,             6.0281e-05,             6.0281e-05
                     47,                0.40749,                0.67273,                  1.095,                0.78664,                0.73306,                0.88673,                0.76855,                0.63899,                 1.1059,                 1.4093,             6.0174e-05,             6.0174e-05,             6.0174e-05
                     48,                 0.4012,                0.65751,                 1.0864,                 0.7986,                0.73891,                0.88729,                0.77984,                0.61979,                 1.0861,                 1.3487,             6.0066e-05,             6.0066e-05,             6.0066e-05
                     49,                0.41608,                0.66337,                 1.0945,                0.74565,                0.77231,                0.88563,                0.78602,                0.61284,                 1.0384,                 1.3426,             5.9959e-05,             5.9959e-05,             5.9959e-05
                     50,                0.39647,                 0.6353,                  1.089,                 0.6426,                0.80621,                0.87289,                0.77115,                0.60712,                 1.0568,                  1.339,             5.9852e-05,             5.9852e-05,             5.9852e-05
                     51,                0.39111,                 0.6303,                 1.0794,                 0.6574,                0.78385,                0.87762,                0.77251,                0.62963,                 1.1494,                 1.4079,             5.9745e-05,             5.9745e-05,             5.9745e-05
                     52,                0.39725,                  0.617,                 1.0816,                0.73311,                0.76888,                0.87304,                0.76512,                0.63208,                 1.1309,                 1.3716,             5.9637e-05,             5.9637e-05,             5.9637e-05
